time_ms,cpu_used_percent,active_workers,queue_len,completed
18940,100,5,471,472
18950,100,5,471,472
18960,100,5,472,472
18970,100,5,472,472
18980,100,5,473,472
18990,100,5,473,472
19000,100,5,474,472
19010,100,5,474,472
19020,100,5,475,472
19030,100,5,475,472
19040,100,5,475,473
19050,100,5,475,473
19060,100,5,475,474
19070,100,5,475,474
19080,100,5,475,475
19090,100,5,475,475
19100,100,5,475,476
19110,100,5,475,476
19120,100,5,475,477
19130,100,5,475,477
19140,100,5,476,477
19150,100,5,476,477
19160,100,5,477,477
19170,100,5,477,477
19180,100,5,478,477
19190,100,5,478,477
19200,100,5,479,477
19210,100,5,479,477
19220,100,5,480,477
19230,100,5,480,477
19240,100,5,480,478
19250,100,5,480,478
19260,100,5,480,479
19270,100,5,480,479
19280,100,5,480,480
19290,100,5,480,480
19300,100,5,480,481
19310,100,5,480,481
19320,100,5,480,482
19330,100,5,480,482
19340,100,5,481,482
19350,100,5,481,482
19360,100,5,482,482
19370,100,5,482,482
19380,100,5,483,482
19390,100,5,483,482
19400,100,5,484,482
19410,100,5,484,482
19420,100,5,485,482
19430,100,5,485,482
19440,100,5,485,483
19450,100,5,485,483
19460,100,5,485,484
19470,100,5,485,484
19480,100,5,485,485
19490,100,5,485,485
19500,100,5,485,486
19510,100,5,485,486
19520,100,5,485,487
19530,100,5,485,487
19540,100,5,486,487
19550,100,5,486,487
19560,100,5,487,487
19570,100,5,487,487
19580,100,5,488,487
19590,100,5,488,487
19600,100,5,489,487
19610,100,5,489,487
19620,100,5,490,487
19630,100,5,490,487
19640,100,5,490,488
19650,100,5,490,488
19660,100,5,490,489
19670,100,5,490,489
19680,100,5,490,490
19690,100,5,490,490
19700,100,5,490,491
19710,100,5,490,491
19720,100,5,490,492
19730,100,5,490,492
19740,100,5,491,492
19750,100,5,491,492
19760,100,5,492,492
19770,100,5,492,492
19780,100,5,493,492
19790,100,5,493,492
19800,100,5,494,492
19810,100,5,494,492
19820,100,5,495,492
19830,100,5,495,492
19840,100,5,495,493
19850,100,5,495,493
19860,100,5,495,494
19870,100,5,495,494
19880,100,5,495,495
19890,100,5,495,495
19900,100,5,495,496
19910,100,5,495,496
19920,100,5,495,497
19930,100,5,495,497
19940,100,5,496,497
19950,100,5,496,497
19960,100,5,497,497
19970,100,5,497,497
19980,100,5,498,497
19990,100,5,498,497
20000,100,5,498,497
20010,100,5,498,497
20020,100,5,498,497
20030,100,5,498,497
20040,100,5,497,498
20050,100,5,497,498
20060,100,5,496,499
20070,100,5,496,499
20080,100,5,495,500
20090,100,5,495,500
20100,100,5,494,501
20110,100,5,494,501
20120,100,5,493,502
20130,100,5,493,502
20140,100,5,493,502
20150,100,5,493,502
20160,100,5,493,502
20170,100,5,493,502
20180,100,5,493,502
20190,100,5,493,502
20200,100,5,493,502
20210,100,5,493,502
20220,100,5,493,502
20230,100,5,493,502
20240,100,5,492,503
20250,100,5,492,503
20260,100,5,491,504
20270,100,5,491,504
20280,100,5,490,505
20290,100,5,490,505
20300,100,5,489,506
20310,100,5,489,506
20320,100,5,488,507
20330,100,5,488,507
20340,100,5,488,507
20350,100,5,488,507
20360,100,5,488,507
20370,100,5,488,507
20380,100,5,488,507
20390,100,5,488,507
20400,100,5,488,507
20410,100,5,488,507
20420,100,5,488,507
20430,100,5,488,507
20440,100,5,487,508
20450,100,5,487,508
20460,100,5,486,509
20470,100,5,486,509
20480,100,5,485,510
20490,100,5,485,510
20500,100,5,484,511
20510,100,5,484,511
20520,100,5,483,512
20530,100,5,483,512
20540,100,5,483,512
20550,100,5,483,512
20560,100,5,483,512
20570,100,5,483,512
20580,100,5,483,512
20590,100,5,483,512
20600,100,5,483,512
20610,100,5,483,512
20620,100,5,483,512
20630,100,5,483,512
20640,100,5,482,513
20650,100,5,482,513
20660,100,5,481,514
20670,100,5,481,514
20680,100,5,480,515
20690,100,5,480,515
20700,100,5,479,516
20710,100,5,479,516
20720,100,5,478,517
20730,100,5,478,517
20740,100,5,478,517
20750,100,5,478,517
20760,100,5,478,517
20770,100,5,478,517
20780,100,5,478,517
20790,100,5,478,517
20800,100,5,478,517
20810,100,5,478,517
20820,100,5,478,517
20830,100,5,478,517
20840,100,5,477,518
20850,100,5,477,518
20860,100,5,476,519
20870,100,5,476,519
20880,100,5,475,520
20890,100,5,475,520
20900,100,5,474,521
20910,100,5,474,521
20920,100,5,473,522
20930,100,5,473,522
20940,100,5,473,522
20950,100,5,473,522
20960,100,5,473,522
20970,100,5,473,522
20980,100,5,473,522
20990,100,5,473,522
21000,100,5,473,522
21010,100,5,473,522
21020,100,5,473,522
21030,100,5,473,522
21040,100,5,472,523
21050,100,5,472,523
21060,100,5,471,524
21070,100,5,471,524
21080,100,5,470,525
21090,100,5,470,525
21100,100,5,469,526
21110,100,5,469,526
21120,100,5,468,527
21130,100,5,468,527
21140,100,5,468,527
21150,100,5,468,527
21160,100,5,468,527
21170,100,5,468,527
21180,100,5,468,527
21190,100,5,468,527
21200,100,5,468,527
21210,100,5,468,527
21220,100,5,468,527
21230,100,5,468,527
21240,100,5,467,528
21250,100,5,467,528
21260,100,5,466,529
21270,100,5,466,529
21280,100,5,465,530
21290,100,5,465,530
21300,100,5,464,531
21310,100,5,464,531
21320,100,5,463,532
21330,100,5,463,532
21340,100,5,463,532
21350,100,5,463,532
21360,100,5,463,532
21370,100,5,463,532
21380,100,5,463,532
21390,100,5,463,532
21400,100,5,463,532
21410,100,5,463,532
21420,100,5,463,532
21430,100,5,463,532
21440,100,5,462,533
21450,100,5,462,533
21460,100,5,461,534
21470,100,5,461,534
21480,100,5,460,535
21490,100,5,460,535
21500,100,5,459,536
21510,100,5,459,536
21520,100,5,458,537
21530,100,5,458,537
21540,100,5,458,537
21550,100,5,458,537
21560,100,5,458,537
21570,100,5,458,537
21580,100,5,458,537
21590,100,5,458,537
21600,100,5,458,537
21610,100,5,458,537
21620,100,5,458,537
21630,100,5,458,537
21640,100,5,457,538
21650,100,5,457,538
21660,100,5,456,539
21670,100,5,456,539
21680,100,5,455,540
21690,100,5,455,540
21700,100,5,454,541
21710,100,5,454,541
21720,100,5,453,542
21730,100,5,453,542
21740,100,5,453,542
21750,100,5,453,542
21760,100,5,453,542
21770,100,5,453,542
21780,100,5,453,542
21790,100,5,453,542
21800,100,5,453,542
21810,100,5,453,542
21820,100,5,453,542
21830,100,5,453,542
21840,100,5,452,543
21850,100,5,452,543
21860,100,5,451,544
21870,100,5,451,544
21880,100,5,450,545
21890,100,5,450,545
21900,100,5,449,546
21910,100,5,449,546
21920,100,5,448,547
21930,100,5,448,547
21940,100,5,448,547
21950,100,5,448,547
21960,100,5,448,547
21970,100,5,448,547
21980,100,5,448,547
21990,100,5,448,547
22000,100,5,448,547
22010,100,5,448,547
22020,100,5,448,547
22030,100,5,448,547
22040,100,5,447,548
22050,100,5,447,548
22060,100,5,446,549
22070,100,5,446,549
22080,100,5,445,550
22090,100,5,445,550
22100,100,5,444,551
22110,100,5,444,551
22120,100,5,443,552
22130,100,5,443,552
22140,100,5,443,552
22150,100,5,443,552
22160,100,5,443,552
22170,100,5,443,552
22180,100,5,443,552
22190,100,5,443,552
22200,100,5,443,552
22210,100,5,443,552
22220,100,5,443,552
22230,100,5,443,552
22240,100,5,442,553
22250,100,5,442,553
22260,100,5,441,554
22270,100,5,441,554
22280,100,5,440,555
22290,100,5,440,555
