time_ms,cpu_used_percent,active_workers,queue_len,completed
29870,70,2,232,766
29880,70,2,232,766
29890,70,2,232,766
29900,70,2,232,766
29910,70,2,232,766
29920,70,2,232,766
29930,70,2,232,766
29940,70,2,232,766
29950,70,2,232,766
29960,70,2,232,766
29970,70,2,232,766
29980,70,2,232,766
29990,70,2,232,766
30000,70,2,232,766
30010,70,2,232,766
30020,70,2,232,766
30030,70,2,232,766
30040,100,5,227,768
30050,100,5,227,768
30060,100,5,227,768
30070,100,5,227,768
30080,100,5,227,768
30090,100,5,227,768
30100,100,5,227,768
30110,100,5,227,768
30120,100,5,227,768
30130,100,5,227,768
30140,100,5,227,768
30150,100,5,227,768
30160,100,5,227,768
30170,100,5,227,768
30180,100,5,227,768
30190,100,5,227,768
30200,100,5,227,768
30210,100,5,227,768
30220,100,5,227,768
30230,100,5,227,768
30240,100,5,222,773
30250,100,5,222,773
30260,100,5,222,773
30270,100,5,222,773
30280,100,5,222,773
30290,100,5,222,773
30300,100,5,222,773
30310,100,5,222,773
30320,100,5,222,773
30330,100,5,222,773
30340,100,5,222,773
30350,100,5,222,773
30360,100,5,222,773
30370,100,5,222,773
30380,100,5,222,773
30390,100,5,222,773
30400,100,5,222,773
30410,100,5,222,773
30420,100,5,222,773
30430,100,5,222,773
30440,95,7,215,778
30450,95,7,215,778
30460,95,7,215,778
30470,95,7,215,778
30480,95,7,215,778
30490,95,7,215,778
30500,95,7,215,778
30510,95,7,215,778
30520,95,7,215,778
30530,95,7,215,778
30540,95,7,215,778
30550,95,7,215,778
30560,95,7,215,778
30570,95,7,215,778
30580,95,7,215,778
30590,95,7,215,778
30600,95,7,215,778
30610,95,7,215,778
30620,95,7,215,778
30630,95,7,215,778
30640,100,5,210,785
30650,100,5,210,785
30660,100,5,210,785
30670,100,5,210,785
30680,100,5,210,785
30690,100,5,210,785
30700,100,5,210,785
30710,100,5,210,785
30720,100,5,210,785
30730,100,5,210,785
30740,100,5,210,785
30750,100,5,210,785
30760,100,5,210,785
30770,100,5,210,785
30780,100,5,210,785
30790,100,5,210,785
30800,100,5,210,785
30810,100,5,210,785
30820,100,5,210,785
30830,100,5,210,785
30840,95,7,203,790
30850,95,7,203,790
30860,95,7,203,790
30870,95,7,203,790
30880,95,7,203,790
30890,95,7,203,790
30900,95,7,203,790
30910,95,7,203,790
30920,95,7,203,790
30930,95,7,203,790
30940,95,7,203,790
30950,95,7,203,790
30960,95,7,203,790
30970,95,7,203,790
30980,95,7,203,790
30990,95,7,203,790
31000,95,7,203,790
31010,95,7,203,790
31020,95,7,203,790
31030,95,7,203,790
31040,75,5,198,797
31050,75,5,198,797
31060,75,5,198,797
31070,75,5,198,797
31080,75,5,198,797
31090,75,5,198,797
31100,75,5,198,797
31110,75,5,198,797
31120,75,5,198,797
31130,75,5,198,797
31140,75,5,198,797
31150,75,5,198,797
31160,75,5,198,797
31170,75,5,198,797
31180,75,5,198,797
31190,75,5,198,797
31200,75,5,198,797
31210,75,5,198,797
31220,75,5,198,797
31230,75,5,198,797
31240,95,7,191,802
31250,95,7,191,802
31260,95,7,191,802
31270,95,7,191,802
31280,95,7,191,802
31290,95,7,191,802
31300,95,7,191,802
31310,95,7,191,802
31320,95,7,191,802
31330,95,7,191,802
31340,95,7,191,802
31350,95,7,191,802
31360,95,7,191,802
31370,95,7,191,802
31380,95,7,191,802
31390,95,7,191,802
31400,95,7,191,802
31410,95,7,191,802
31420,95,7,191,802
31430,95,7,191,802
31440,85,6,185,809
31450,85,6,185,809
31460,85,6,185,809
31470,85,6,185,809
31480,85,6,185,809
31490,85,6,185,809
31500,85,6,185,809
31510,85,6,185,809
31520,85,6,185,809
31530,85,6,185,809
31540,85,6,185,809
31550,85,6,185,809
31560,85,6,185,809
31570,85,6,185,809
31580,85,6,185,809
31590,85,6,185,809
31600,85,6,185,809
31610,85,6,185,809
31620,85,6,185,809
31630,85,6,185,809
31640,90,4,181,815
31650,90,4,181,815
31660,90,4,181,815
31670,90,4,181,815
31680,90,4,181,815
31690,90,4,181,815
31700,90,4,181,815
31710,90,4,181,815
31720,90,4,181,815
31730,90,4,181,815
31740,90,4,181,815
31750,90,4,181,815
31760,90,4,181,815
31770,90,4,181,815
31780,90,4,181,815
31790,90,4,181,815
31800,90,4,181,815
31810,90,4,181,815
31820,90,4,181,815
31830,90,4,181,815
31840,100,5,176,819
31850,100,5,176,819
31860,100,5,176,819
31870,100,5,176,819
31880,100,5,176,819
31890,100,5,176,819
31900,100,5,176,819
31910,100,5,176,819
31920,100,5,176,819
31930,100,5,176,819
31940,100,5,176,819
31950,100,5,176,819
31960,100,5,176,819
31970,100,5,176,819
31980,100,5,176,819
31990,100,5,176,819
32000,100,5,176,819
32010,100,5,176,819
32020,100,5,176,819
32030,100,5,176,819
32040,95,7,169,824
32050,95,7,169,824
32060,95,7,169,824
32070,95,7,169,824
32080,95,7,169,824
32090,95,7,169,824
32100,95,7,169,824
32110,95,7,169,824
32120,95,7,169,824
32130,95,7,169,824
32140,95,7,169,824
32150,95,7,169,824
32160,95,7,169,824
32170,95,7,169,824
32180,95,7,169,824
32190,95,7,169,824
32200,95,7,169,824
32210,95,7,169,824
32220,95,7,169,824
32230,95,7,169,824
32240,95,7,162,831
32250,95,7,162,831
32260,95,7,162,831
32270,95,7,162,831
32280,95,7,162,831
32290,95,7,162,831
32300,95,7,162,831
32310,95,7,162,831
32320,95,7,162,831
32330,95,7,162,831
32340,95,7,162,831
32350,95,7,162,831
32360,95,7,162,831
32370,95,7,162,831
32380,95,7,162,831
32390,95,7,162,831
32400,95,7,162,831
32410,95,7,162,831
32420,95,7,162,831
32430,95,7,162,831
32440,85,6,156,838
32450,85,6,156,838
32460,85,6,156,838
32470,85,6,156,838
32480,85,6,156,838
32490,85,6,156,838
32500,85,6,156,838
32510,85,6,156,838
32520,85,6,156,838
32530,85,6,156,838
32540,85,6,156,838
32550,85,6,156,838
32560,85,6,156,838
32570,85,6,156,838
32580,85,6,156,838
32590,85,6,156,838
32600,85,6,156,838
32610,85,6,156,838
32620,85,6,156,838
32630,85,6,156,838
32640,80,3,153,844
32650,80,3,153,844
32660,80,3,153,844
32670,80,3,153,844
32680,80,3,153,844
32690,80,3,153,844
32700,80,3,153,844
32710,80,3,153,844
32720,80,3,153,844
32730,80,3,153,844
32740,80,3,153,844
32750,80,3,153,844
32760,80,3,153,844
32770,80,3,153,844
32780,80,3,153,844
32790,80,3,153,844
32800,80,3,153,844
32810,80,3,153,844
32820,80,3,153,844
32830,80,3,153,844
32840,95,7,146,847
32850,95,7,146,847
32860,95,7,146,847
32870,95,7,146,847
32880,95,7,146,847
32890,95,7,146,847
32900,95,7,146,847
32910,95,7,146,847
32920,95,7,146,847
32930,95,7,146,847
32940,95,7,146,847
32950,95,7,146,847
32960,95,7,146,847
32970,95,7,146,847
32980,95,7,146,847
32990,95,7,146,847
33000,95,7,146,847
33010,95,7,146,847
33020,95,7,146,847
33030,95,7,146,847
33040,100,5,141,854
33050,100,5,141,854
33060,100,5,141,854
33070,100,5,141,854
33080,100,5,141,854
33090,100,5,141,854
33100,100,5,141,854
33110,100,5,141,854
33120,100,5,141,854
33130,100,5,141,854
33140,100,5,141,854
33150,100,5,141,854
33160,100,5,141,854
33170,100,5,141,854
33180,100,5,141,854
33190,100,5,141,854
33200,100,5,141,854
33210,100,5,141,854
33220,100,5,141,854
33230,100,5,141,854
33240,95,7,134,859
33250,95,7,134,859
33260,95,7,134,859
33270,95,7,134,859
33280,95,7,134,859
33290,95,7,134,859
33300,95,7,134,859
33310,95,7,134,859
33320,95,7,134,859
33330,95,7,134,859
33340,95,7,134,859
33350,95,7,134,859
33360,95,7,134,859
33370,95,7,134,859
33380,95,7,134,859
33390,95,7,134,859
33400,95,7,134,859
33410,95,7,134,859
33420,95,7,134,859
33430,95,7,134,859
33440,90,4,130,866
33450,90,4,130,866
33460,90,4,130,866
33470,90,4,130,866
33480,90,4,130,866
33490,90,4,130,866
33500,90,4,130,866
33510,90,4,130,866
33520,90,4,130,866
33530,90,4,130,866
33540,90,4,130,866
33550,90,4,130,866
33560,90,4,130,866
33570,90,4,130,866
33580,90,4,130,866
33590,90,4,130,866
33600,90,4,130,866
33610,90,4,130,866
33620,90,4,130,866
33630,90,4,130,866
33640,75,5,125,870
33650,75,5,125,870
33660,75,5,125,870
33670,75,5,125,870
33680,75,5,125,870
33690,75,5,125,870
33700,75,5,125,870
33710,75,5,125,870
33720,75,5,125,870
33730,75,5,125,870
33740,75,5,125,870
33750,75,5,125,870
33760,75,5,125,870
33770,75,5,125,870
33780,75,5,125,870
33790,75,5,125,870
33800,75,5,125,870
33810,75,5,125,870
33820,75,5,125,870
33830,75,5,125,870
33840,80,3,122,875
33850,80,3,122,875
33860,80,3,122,875
33870,80,3,122,875
33880,80,3,122,875
33890,80,3,122,875
33900,80,3,122,875
33910,80,3,122,875
33920,80,3,122,875
33930,80,3,122,875
33940,80,3,122,875
33950,80,3,122,875
33960,80,3,122,875
33970,80,3,122,875
33980,80,3,122,875
33990,80,3,122,875
34000,80,3,122,875
34010,80,3,122,875
34020,80,3,122,875
34030,80,3,122,875
34040,85,6,116,878
34050,85,6,116,878
34060,85,6,116,878
34070,85,6,116,878
34080,85,6,116,878
34090,85,6,116,878
34100,85,6,116,878
34110,85,6,116,878
34120,85,6,116,878
